model,auc_published,accuracy_published,sensitivity_published,specificity_published,f1_published,brier_published
Protein,0.732 [0.718-0.747],0.675 [0.668-0.683],0.675 [0.649-0.701],0.675 [0.668-0.683],0.254 [0.240-0.267],0.070 [0.067-0.073]
SCORE.V2,0.701 [0.687-0.716],0.725 [0.718-0.732],0.529 [0.504-0.559],0.743 [0.736-0.750],0.239 [0.225-0.255],0.072 [0.069-0.076]
SCORE.V2+Protein,0.744 [0.730-0.757],0.674 [0.667-0.682],0.674 [0.650-0.700],0.674 [0.667-0.682],0.253 [0.239-0.266],0.070 [0.067-0.073]
