protein,rank,published_importance,uniprot,panel,protein_definition,local_feature
NEFL,78,0.0033879896701565,P07196,Neurology,Neurofilament light polypeptide,nefl
PDCD1,79,0.0033728688807827,Q15116,Oncology,Programmed cell death protein 1,pdcd1
EPO,80,0.0033259215136961,P01588,Inflammation,Erythropoietin,epo
PREB,81,0.0033226637186536,Q9HCU5,Inflammation,Prolactin regulatory element-binding protein,preb
ENPP5,82,0.0032742676516346,Q9UJA9,Inflammation,Ectonucleotide pyrophosphatase/phosphodiesterase family member 5,enpp5
IMMT,83,0.0032702685984402,Q16891,Oncology II,MICOS complex subunit MIC60,immt
TFRC,84,0.0032586421661278,P02786,Cardiometabolic,Transferrin receptor protein 1,tfrc
CBLN4,85,0.0032428938406154,Q9NTU7,Oncology,Cerebellin-4,cbln4
FOLR1,86,0.0032351352999101,P15328,Oncology,Folate receptor alpha,folr1
ADM,87,0.0032341827579142,P35318,Oncology,Pro-adrenomedullin,adm
CD93,88,0.0032277193037324,Q9NPY3,Cardiometabolic,Complement component C1q receptor,cd93
MYBPC1,89,0.0031982905189631,Q00872,Cardiometabolic II,"Myosin-binding protein C, slow-type",mybpc1
EPS8L2,90,0.0031923989221974,Q9H6S3,Oncology,Epidermal growth factor receptor kinase substrate 8-like protein 2,eps8l2
BAIAP2,91,0.0031591478688286,Q9UQB8,Oncology,Brain-specific angiogenesis inhibitor 1-associated protein 2,baiap2
DCBLD2,92,0.0031513392112833,Q96PD2,Oncology,"Discoidin, CUB and LCCL domain-containing protein 2",dcbld2
ANXA10,93,0.0031376338833761,Q9UJ72,Neurology,Annexin A10,anxa10
FGF5,94,0.0031345748425091,P12034,Inflammation,Fibroblast growth factor 5,fgf5
ACP5,95,0.0031258962257741,P13686,Cardiometabolic,Tartrate-resistant acid phosphatase type 5,acp5
HPGDS,96,0.0031157472654864,O60760,Oncology,Hematopoietic prostaglandin D synthase,hpgds
DKK3,97,0.0031103068015972,Q9UBP4,Cardiometabolic,Dickkopf-related protein 3,dkk3
RBFOX3,98,0.003110234686902,A6NFN3,Neurology II,RNA binding protein fox-1 homolog 3,rbfox3
TNFRSF11A,99,0.0031093312065571,Q9Y6Q6,Inflammation,Tumor necrosis factor receptor superfamily member 11A,tnfrsf11a
CHGA,100,0.0030834391891543,P10645,Cardiometabolic II,Chromogranin-A,chga
FGFBP1,101,0.0030445544379483,Q14512,Oncology,Fibroblast growth factor-binding protein 1,fgfbp1
LCN2,102,0.0030257813684059,P80188,Cardiometabolic,Neutrophil gelatinase-associated lipocalin,lcn2
CD1C,103,0.0030148190561486,P29017,Oncology,T-cell surface glycoprotein CD1c,cd1c
CEACAM6,104,0.0029892956381583,P40199,Cardiometabolic II,Carcinoembryonic antigen-related cell adhesion molecule 6,ceacam6
LGALS7_LGALS7B,105,0.002981657177125,P47929,Oncology,Galectin-7,lgals7_lgals7b
SLC39A14,106,0.0029625147587772,Q15043,Neurology,Zinc transporter ZIP14,slc39a14
VSIG4,107,0.0029549402785768,Q9Y279,Neurology,V-set and immunoglobulin domain-containing protein 4,vsig4
CRHBP,108,0.0029522819295195,P24387,Inflammation,Corticotropin-releasing factor-binding protein,crhbp
SUSD2,109,0.00293647608448,Q9UGT4,Neurology,Sushi domain-containing protein 2,susd2
LTBP3,110,0.0029269044008803,Q9NS15,Oncology,Latent-transforming growth factor beta-binding protein 3,ltbp3
TACSTD2,111,0.0029142873359759,P09758,Oncology,Tumor-associated calcium signal transducer 2,tacstd2
EGFR,112,0.0028827959914644,P00533,Cardiometabolic,Epidermal growth factor receptor,egfr
ALDH3A1,113,0.0028801903752145,P30838,Inflammation,"Aldehyde dehydrogenase, dimeric NADP-preferring",aldh3a1
SFRP1,114,0.0028666871010382,Q8N474,Neurology,Secreted frizzled-related protein 1,sfrp1
MSR1,115,0.0028623437179048,P21757,Neurology,Macrophage scavenger receptor types I and II,msr1
VMO1,116,0.0028539697292599,Q7Z5L0,Oncology,Vitelline membrane outer layer protein 1 homolog,vmo1
IL18R1,117,0.0028459304475725,Q13478,Inflammation,Interleukin-18 receptor 1,il18r1
C1QTNF1,118,0.0028436074791215,Q9BXJ1,Cardiometabolic,Complement C1q tumor necrosis factor-related protein 1,c1qtnf1
SORCS2,119,0.0028422993873796,Q96PQ0,Oncology,VPS10 domain-containing receptor SorCS2,sorcs2
TNFSF13B,120,0.0028383890576938,Q9Y275,Cardiometabolic,Tumor necrosis factor ligand superfamily member 13B,tnfsf13b
RET,121,0.0028108977042489,P07949,Oncology,Proto-oncogene tyrosine-protein kinase receptor Ret,ret
LILRA5,122,0.0027965574204727,A6NI73,Cardiometabolic,Leukocyte immunoglobulin-like receptor subfamily A member 5,lilra5
MEP1B,123,0.0027917502262079,Q16820,Cardiometabolic,Meprin A subunit beta,mep1b
CD99,124,0.0027803659619805,P14209,Neurology,CD99 antigen,cd99
CRIM1,125,0.0027680685811221,Q9NZV1,Inflammation,Cysteine-rich motor neuron 1 protein,crim1
IL1RL2,126,0.0027664793152902,Q9HB29,Inflammation,Interleukin-1 receptor-like 2,il1rl2
KRT18,127,0.0027656951098685,P05783,Oncology,"Keratin, type I cytoskeletal 18",krt18
THBD,128,0.0027468991087576,P07204,Cardiometabolic,Thrombomodulin,thbd
MMP7,129,0.0027388712453274,P09237,Cardiometabolic,Matrilysin,mmp7
SUSD5,130,0.0027354638267854,O60279,Inflammation II,Sushi domain-containing protein 5,susd5
CD207,131,0.0027151060216314,Q9UJ71,Oncology,C-type lectin domain family 4 member K,cd207
CTSL,132,0.0027096368587082,P07711,Cardiometabolic,Cathepsin L1,ctsl
DEFA1_DEFA1B,133,0.0027076190969206,P59665,Cardiometabolic,Neutrophil defensin 1,defa1_defa1b
MUC13,134,0.0026916103884146,Q9H3R2,Neurology,Mucin-13,muc13
GGH,135,0.002665991885902,Q92820,Cardiometabolic,Gamma-glutamyl hydrolase,ggh
CCL7,136,0.0026449602382606,P80098,Inflammation,C-C motif chemokine 7,ccl7
PTN,137,0.002643084068962,P21246,Cardiometabolic,Pleiotrophin,ptn
SMPD1,138,0.0026336494324779,P17405,Neurology,Sphingomyelin phosphodiesterase,smpd1
LIFR,139,0.002632674077701,P42702,Inflammation,Leukemia inhibitory factor receptor,lifr
CFI,140,0.0026323327067919,P05156,Inflammation II,Complement factor I,cfi
FGFR2,141,0.0026196911919011,P21802,Oncology,Fibroblast growth factor receptor 2,fgfr2
INHBC,142,0.0026190362973847,P55103,Neurology,Inhibin beta C chain,inhbc
FAM3B,143,0.002604088412268,P58499,Oncology,Protein FAM3B,fam3b
TPP1,144,0.0026004163471895,O14773,Inflammation,Tripeptidyl-peptidase 1,tpp1
TREM2,145,0.002593676733802,Q9NZC2,Inflammation,Triggering receptor expressed on myeloid cells 2,trem2
KRT19,146,0.0025893318516516,P08727,Inflammation,"Keratin, type I cytoskeletal 19",krt19
LRP11,147,0.0025801438813753,Q86VZ4,Cardiometabolic,Low-density lipoprotein receptor-related protein 11,lrp11
NID1,148,0.0025706765593861,P14543,Cardiometabolic,Nidogen-1,nid1
CRELD1,149,0.0025538206428982,Q96HD1,Inflammation II,Protein disulfide isomerase CRELD1,creld1
NPPC,150,0.0025528666082234,P23582,Inflammation,C-type natriuretic peptide,nppc
IL19,151,0.002542883421337,Q9UHD0,Cardiometabolic,Interleukin-19,il19
CLEC5A,152,0.0025277270430014,Q9NY25,Cardiometabolic,C-type lectin domain family 5 member A,clec5a
ZBTB17,153,0.0025195522542584,Q13105,Cardiometabolic,Zinc finger and BTB domain-containing protein 17,zbtb17
SFTPA2,154,0.002510700608448,Q8IWL1,Oncology,Pulmonary surfactant-associated protein A2,sftpa2
DPP4,155,0.0025087557397232,P27487,Cardiometabolic,Dipeptidyl peptidase 4,dpp4
ADAM8,156,0.0025071035770172,P78325,Neurology,Disintegrin and metalloproteinase domain-containing protein 8,adam8
GCG,157,0.0025028859904074,P01275,Oncology,Pro-glucagon,gcg
IL1RL1,158,0.002501640601005,Q01638,Cardiometabolic,Interleukin-1 receptor-like 1,il1rl1
SLAMF7,159,0.0024888697372575,Q9NQ25,Inflammation,SLAM family member 7,slamf7
CD300A,160,0.0024807125313927,Q9UGN4,Inflammation II,CMRF35-like molecule 8,cd300a
CDH1,161,0.0024765055966783,P12830,Cardiometabolic,Cadherin-1,cdh1
FOLR2,162,0.0024702693183276,P14207,Neurology,Folate receptor beta,folr2
FAM3D,163,0.0024688466834298,Q96BQ1,Oncology II,Protein FAM3D,fam3d
LCAT,164,0.0024463272675656,P04180,Inflammation II,Phosphatidylcholine-sterol acyltransferase,lcat
PTPRN2,165,0.002429128004935,Q92932,Neurology,Receptor-type tyrosine-protein phosphatase N2,ptprn2
TNFRSF17,166,0.0024273655554126,Q02223,Inflammation II,Tumor necrosis factor receptor superfamily member 17,tnfrsf17
CD276,167,0.0024269664355329,Q5ZPR3,Inflammation,CD276 antigen,cd276
PCSK9,168,0.0024234707038393,Q8NBP7,Cardiometabolic,Proprotein convertase subtilisin/kexin type 9,pcsk9
XCL1,169,0.0023945680490005,P47992,Oncology,Lymphotactin,xcl1
CD163,170,0.0023706130771541,Q86VB7,Cardiometabolic,Scavenger receptor cysteine-rich type 1 protein M130,cd163
SERPINA3,171,0.0023684903423744,P01011,Inflammation II,Alpha-1-antichymotrypsin,serpina3
IGFBP4,172,0.0023680116242346,P22692,Neurology,Insulin-like growth factor-binding protein 4,igfbp4
CLSTN2,173,0.0023653579130452,Q9H4D0,Inflammation,Calsyntenin-2,clstn2
TNFRSF12A,174,0.0023646420769451,Q9NP84,Oncology,Tumor necrosis factor receptor superfamily member 12A,tnfrsf12a
CD4,175,0.0023528761235048,P01730,Inflammation,T-cell surface glycoprotein CD4,cd4
EPHB6,176,0.0023470578315131,O15197,Neurology,Ephrin type-B receptor 6,ephb6
MYOM3,177,0.0023243043778684,Q5VTT5,Inflammation II,Myomesin-3,myom3
AREG,178,0.0023127501967087,P15514,Oncology,Amphiregulin,areg
IL22,179,0.0023103405624337,Q9GZX6,Oncology II,Interleukin-22,il22
MPO,180,0.0023014806628882,P05164,Neurology,Myeloperoxidase,mpo
RBP2,181,0.0023011525649294,P50120,Oncology,Retinol-binding protein 2,rbp2
C2,182,0.0022982743173918,P06681,Cardiometabolic,Complement C2,c2
FSTL3,183,0.002274100236302,O95633,Inflammation,Follistatin-related protein 3,fstl3
